parent|child|cont_jacc|containment|jaccard
ckan_keywords_canadian arctic|ckan_subject_nature_and_environment|48.00000000000008|1.0|0.0208333333333333
ckan_keywords_canadian environmental protection act|ckan_subject_nature_and_environment|23.999999999999982|1.0|0.0416666666666667
ckan_keywords_canadian radiological monitoring network|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_canadian radiological monitoring network|ckan_subject_nature_and_environment|144.00000000000009|1.0|0.00694444444444444
ckan_keywords_canadian rivers|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_cansim|ckan_subject_information_and_communications|35.428571428571466|0.761904761904762|0.021505376344086
ckan_keywords_cansim|ckan_subject_law|31.29166666666664|0.5|0.0159786950732357
ckan_keywords_cansim|ckan_subject_transport|20.638888888888893|0.888888888888889|0.0430686406460296
ckan_keywords_carbon monoxide|ckan_keywords_province|62.75|0.5|0.00796812749003984
ckan_keywords_catastrophe|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_census of population|ckan_keywords_education|5.800000000000009|1.0|0.172413793103448
ckan_keywords_charadriiformes|ckan_subject_nature_and_environment|144.00000000000009|1.0|0.00694444444444444
ckan_keywords_charadriiformes|ckan_subject_science_and_technology|50.0|1.0|0.02
ckan_keywords_chemical|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_climate|ckan_subject_nature_and_environment|48.00000000000008|1.0|0.0208333333333333
ckan_keywords_cloud amount|ckan_keywords_ontario|14.44444444444445|1.0|0.0692307692307692
ckan_keywords_cloud height|ckan_keywords_ontario|14.44444444444445|1.0|0.0692307692307692
ckan_keywords_cloud opacity|ckan_keywords_ontario|14.44444444444445|1.0|0.0692307692307692
ckan_keywords_conditional release|ckan_keywords_appeal|3.000000000000003|1.0|0.333333333333333
ckan_keywords_conditional release decision|ckan_subject_law|4.0|1.0|0.25
ckan_keywords_conditional release decisions|ckan_subject_law|4.0|1.0|0.25
ckan_keywords_conditional release review|ckan_subject_law|4.0|1.0|0.25
ckan_keywords_conflict|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_conservation programs|ckan_subject_nature_and_environment|48.00000000000008|1.0|0.0208333333333333
ckan_keywords_conservation projects|ckan_subject_nature_and_environment|48.00000000000008|1.0|0.0208333333333333
ckan_keywords_construction-related payment|ckan_subject_economics_and_industry|1064.0000000000005|1.0|0.00093984962406015
ckan_keywords_core public administration|ckan_subject_government_and_politics|95.75000000000013|1.0|0.010443864229765
ckan_keywords_coverage|ckan_subject_science_and_technology|25.0|1.0|0.04
ckan_keywords_cpp|ckan_subject_society_and_culture|9.000000000000009|1.0|0.111111111111111
ckan_keywords_critical|ckan_keywords_british columbia|230.00000000000009|1.0|0.00434782608695652
ckan_keywords_critical infrastructure|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_defence construction canada|ckan_subject_economics_and_industry|1064.0000000000005|1.0|0.00093984962406015
ckan_keywords_defined contributions|ckan_subject_economics_and_industry|532.0000000000002|1.0|0.0018796992481203
ckan_keywords_demography|ckan_subject_persons|8.333333333333334|1.0|0.12
ckan_keywords_derailment|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_dew point temperature|ckan_keywords_ontario|14.44444444444445|1.0|0.0692307692307692
ckan_keywords_direction|ckan_keywords_ontario|7.027027027027042|1.0|0.142307692307692
ckan_keywords_disaster|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_disposal|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_disturbance|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_diversity|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_downstream|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_dpsp|ckan_subject_economics_and_industry|532.0000000000002|1.0|0.0018796992481203
ckan_keywords_drainage region|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_drinking water|ckan_subject_nature_and_environment|72.50000000000001|0.5|0.00689655172413793
ckan_keywords_drought|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_earnings|ckan_subject_labour|125.0|1.0|0.008
