label1,label2,mi,dotprod,card1,card2,size1,size2
ckan_keywords_aboriginal rights,ckan_keywords_aboriginal lands,0.0366322587456,0.0408163265306,2,2,2064,2064
ckan_keywords_aboriginal rights,ckan_keywords_aboriginal peoples,0.0366322587456,0.0408163265306,2,2,2064,2064
ckan_keywords_aboriginal rights,ckan_keywords_agreements,0.0366322587456,0.0408163265306,2,2,2064,2064
ckan_keywords_aboriginal rights,ckan_keywords_boundaries,0.0366322587456,0.0408163265306,2,2,2064,2064
ckan_keywords_aboriginal rights,ckan_keywords_comprehensive land claim,0.0366322587456,0.0408163265306,2,2,2064,2064
ckan_keywords_aboriginal rights,ckan_keywords_indians,0.0366322587456,0.0408163265306,2,2,2064,2064
ckan_keywords_aboriginal rights,ckan_keywords_indigenous,0.0366322587456,0.0408163265306,2,2,2064,2064
ckan_keywords_aboriginal rights,ckan_keywords_self-government,0.0366322587456,0.0408163265306,2,2,2064,2064
ckan_keywords_aboriginal rights,ckan_keywords_settlement lands,0.0366322587456,0.0408163265306,2,2,2064,2064
ckan_keywords_aboriginal rights,ckan_subject_form_descriptors,0.0366322587456,0.0408163265306,2,2,2064,2064
ckan_keywords_aboriginal rights,ckan_topiccategory_boundaries,0.0366322587456,0.0408163265306,2,2,2064,2064
ckan_keywords_aboriginal rights,ckan_topiccategory_location,0.0366322587456,0.0408163265306,2,2,2064,2064
ckan_keywords_acet,ckan_subject_information_and_communications,0.00603370772761,0.0277777777778,2,4,2064,2064
ckan_keywords_acres,ckan_keywords_canada,0.00603370772761,0.00826446280992,2,4,2064,2064
ckan_keywords_administrator,ckan_keywords_pa,0.0221948128528,0.0283632451465,3,3,2064,2064
ckan_keywords_administrator,ckan_keywords_pension adjustment,0.0221948128528,0.0283632451465,3,3,2064,2064
ckan_keywords_administrator,ckan_keywords_pension plan,0.0221948128528,0.0283632451465,3,3,2064,2064
ckan_keywords_administrator,ckan_keywords_retirement,0.0221948128528,0.0283632451465,3,3,2064,2064
ckan_keywords_administrator,ckan_subject_economics_and_industry,0.0156766324916,0.0283632451465,3,16,2064,2064
ckan_keywords_advertising campaign evaluation,ckan_subject_information_and_communications,0.00603370772761,0.0277777777778,2,4,2064,2064
ckan_keywords_aids,ckan_subject_health_and_safety,0.00603370772761,0.00390625,2,5,2064,2064
ckan_keywords_air pollutant emission inventory,ckan_keywords_volatile organic compounds,0.0221948128528,0.0157442478376,3,4,2064,2064
ckan_keywords_air pollutants,ckan_keywords_air and climate,0.0535388650078,0.0537608294703,5,6,2064,2064
ckan_keywords_air pollutants,ckan_keywords_air quality,0.0110980843898,0.02,5,2,2064,2064
ckan_keywords_air pollutants,ckan_keywords_concentrations,0.0110980843898,0.02,5,2,2064,2064
ckan_keywords_air pollutants,ckan_keywords_oil and gas,0.0110980843898,0.0078125,5,2,2064,2064
ckan_keywords_air pollutants,ckan_keywords_regional,0.0110980843898,0.02,5,2,2064,2064
ckan_keywords_air pollutants,ckan_keywords_sulphur dioxide,0.0110980843898,0.02,5,2,2064,2064
ckan_keywords_air pollutants,ckan_keywords_upstream,0.0110980843898,0.0078125,5,2,2064,2064
ckan_keywords_air pollutants,ckan_keywords_volatile organic compounds,0.0313521995765,0.0235567478376,5,4,2064,2064
ckan_keywords_air pollution,ckan_keywords_emissions,0.0600227074436,0.0368472492234,5,6,2064,2064
ckan_keywords_air pollution,ckan_keywords_nitrogen oxides,0.042446212234,0.0164390859581,5,4,2064,2064
ckan_keywords_alberta,ckan_keywords_newfoundland,0.493983578835,0.87109375,2,2,2064,2064
ckan_keywords_alberta,ckan_keywords_nova scotia,0.493983578835,0.87109375,2,2,2064,2064
ckan_keywords_alberta,ckan_keywords_ontario,0.493983578835,0.87109375,2,4,2064,2064
ckan_keywords_alberta,ckan_keywords_quebec,0.493983578835,0.87109375,2,2,2064,2064
ckan_keywords_alberta,ckan_keywords_saskatchewan,0.493983578835,0.87109375,2,2,2064,2064
ckan_keywords_alberta,ckan_keywords_yukon,0.493983578835,0.87109375,2,2,2064,2064
ckan_keywords_ambient levels,ckan_keywords_air pollutants,0.0110980843898,0.02,2,5,2064,2064
ckan_keywords_annual index,ckan_keywords_canada,0.0202568283567,0.0236686390533,2,4,2064,2064
ckan_keywords_appeal,ckan_keywords_unescorted temporary absence,0.0202568283567,0.0177777777778,2,3,2064,2064
ckan_keywords_appeal decisions,ckan_keywords_unescorted temporary absence,0.0202568283567,0.0177777777778,2,3,2064,2064
ckan_keywords_assess status of species,ckan_topiccategory_biota,0.00603370772761,0.00346020761246,2,6,2064,2064
ckan_keywords_at risk,ckan_keywords_nature,0.0110980843898,0.00554016620499,2,5,2064,2064
